xflr5 v6.46

 Calculated polar for: CA2013 GAP1%a50%

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -6.500, 0.5019, 0.07350, 0.06788,-0.1808,0.6812,0.0367,-1.1854, 0.0000, 0.6282
 -6.250, 0.5150, 0.07144, 0.06585,-0.1803,0.6774,0.0375,-1.1984, 0.0000, 0.6168
 -6.000, 0.5250, 0.06994, 0.06432,-0.1808,0.6743,0.0390,-1.2067, 0.0000, 0.6103
 -5.750, 0.5349, 0.06836, 0.06278,-0.1844,0.6712,0.0402,-1.2095, 0.0000, 0.6095
 -5.500, 0.5481, 0.06650, 0.06094,-0.1834,0.6677,0.0413,-1.2226, 0.0000, 0.5985
 -5.250, 0.5648, 0.06464, 0.05904,-0.1868,0.6649,0.0434,-1.2323, 0.0000, 0.5936
 -5.000, 0.5793, 0.06271, 0.05715,-0.1887,0.6617,0.0444,-1.2414, 0.0000, 0.5877
 -4.750, 0.5952, 0.06098, 0.05544,-0.1901,0.6584,0.0463,-1.2527, 0.0000, 0.5805
 -4.500, 0.6193, 0.05861, 0.05303,-0.1957,0.6558,0.0483,-1.2655, 0.0000, 0.5761
 -4.250, 0.6372, 0.05690, 0.05135,-0.1973,0.6526,0.0507,-1.2778, 0.0000, 0.5689
 -4.000, 0.6623, 0.05457, 0.04903,-0.2023,0.6493,0.0531,-1.2915, 0.0000, 0.5639
 -3.750, 0.7013, 0.05165, 0.04603,-0.2116,0.6466,0.0572,-1.3122, 0.0000, 0.5592
 -3.500, 0.7423, 0.04877, 0.04313,-0.2211,0.6433,0.0623,-1.3336, 0.0000, 0.5544
 -3.250, 0.7577, 0.04761, 0.04200,-0.2198,0.6401,0.0652,-1.3473, 0.0000, 0.5459
 -2.000, 1.2378, 0.02381, 0.01549,-0.3223,0.6237,0.0501,-1.6194, 0.0000, 0.5123
 -1.750, 1.2803, 0.02303, 0.01439,-0.3253,0.6207,0.0457,-1.6515, 0.0000, 0.5055
 -1.500, 1.3195, 0.02260, 0.01368,-0.3277,0.6185,0.0437,-1.6839, 0.0000, 0.4992
 -1.250, 1.3509, 0.02243, 0.01358,-0.3286,0.6149,0.0436,-1.7107, 0.0000, 0.4936
 -1.000, 1.3862, 0.02227, 0.01346,-0.3305,0.6119,0.0454,-1.7421, 0.0000, 0.4882
 -0.750, 1.4239, 0.02221, 0.01329,-0.3328,0.6096,0.0474,-1.7757, 0.0000, 0.4830
 -0.500, 1.4546, 0.02235, 0.01345,-0.3337,0.6061,0.0506,-1.8030, 0.0000, 0.4782
  0.000, 1.5307, 0.02226, 0.01391,-0.3388,0.6009,0.3661,-1.8708, 0.0000, 0.4691
  0.250, 1.5533, 0.02273, 0.01441,-0.3378,0.5973,0.4208,-1.8932, 0.0000, 0.4647
  0.500, 1.5795, 0.02303, 0.01467,-0.3376,0.5942,0.4584,-1.9193, 0.0000, 0.4604
  0.750, 1.6099, 0.02319, 0.01475,-0.3382,0.5919,0.4952,-1.9492, 0.0000, 0.4563
  1.000, 1.6323, 0.02352, 0.01520,-0.3374,0.5881,0.5260,-1.9712, 0.0000, 0.4524
  1.250, 1.6604, 0.02370, 0.01537,-0.3377,0.5853,0.5428,-1.9991, 0.0000, 0.4486
  1.500, 1.6915, 0.02384, 0.01545,-0.3387,0.5833,0.5590,-2.0299, 0.0000, 0.4449
  1.750, 1.7144, 0.02422, 0.01593,-0.3380,0.5798,0.5742,-2.0526, 0.0000, 0.4413
  2.000, 1.7406, 0.02448, 0.01623,-0.3380,0.5769,0.5915,-2.0789, 0.0000, 0.4378
  2.250, 1.7703, 0.02464, 0.01639,-0.3387,0.5748,0.6128,-2.1086, 0.0000, 0.4344
  2.500, 1.7946, 0.02500, 0.01685,-0.3382,0.5720,0.6389,-2.1328, 0.0000, 0.4310
  2.750, 1.8168, 0.02538, 0.01735,-0.3374,0.5688,0.6740,-2.1553, 0.0000, 0.4278
  3.000, 1.8433, 0.02558, 0.01759,-0.3374,0.5664,0.7276,-2.1824, 0.0000, 0.4245
  3.250, 1.8723, 0.02567, 0.01768,-0.3378,0.5646,0.7990,-2.2119, 0.0000, 0.4214
  3.500, 1.8808, 0.02596, 0.01824,-0.3341,0.5611,0.9970,-2.2223, 0.0000, 0.4181
  3.750, 1.9070, 0.02634, 0.01858,-0.3342,0.5584,0.9970,-2.2497, 0.0000, 0.4152
  4.000, 1.9371, 0.02658, 0.01872,-0.3350,0.5564,0.9970,-2.2845, 0.0000, 0.4124
  4.250, 1.9589, 0.02711, 0.01929,-0.3342,0.5536,0.9970,-2.3111, 0.0000, 0.4095
  4.500, 1.9793, 0.02766, 0.01990,-0.3332,0.5506,0.9970,-2.3365, 0.0000, 0.4067
  4.750, 2.0062, 0.02797, 0.02018,-0.3334,0.5483,0.9970,-2.3684, 0.0000, 0.4040
  5.000, 2.0380, 0.02818, 0.02031,-0.3346,0.5466,0.9970,-2.4051, 0.0000, 0.4015
  5.250, 2.0486, 0.02902, 0.02132,-0.3316,0.5429,0.9970,-2.4211, 0.0000, 0.3986
  5.500, 2.0725, 0.02937, 0.02169,-0.3312,0.5402,0.9970,-2.4504, 0.0000, 0.3960
  5.750, 2.1039, 0.02950, 0.02176,-0.3323,0.5382,0.9970,-2.4872, 0.0000, 0.3936
  6.000, 2.1136, 0.03028, 0.02270,-0.3291,0.5343,0.9970,-2.5029, 0.0000, 0.3908
  6.250, 2.1364, 0.03062, 0.02307,-0.3285,0.5315,0.9970,-2.5320, 0.0000, 0.3883
  6.500, 2.1677, 0.03076, 0.02317,-0.3296,0.5295,0.9970,-2.5742, 0.0000, 0.3861
  6.750, 2.1742, 0.03171, 0.02431,-0.3259,0.5260,0.9970,-2.5923, 0.0000, 0.3834
  7.000, 2.1933, 0.03222, 0.02488,-0.3246,0.5233,0.9970,-2.6231, 0.0000, 0.3809
  7.250, 2.2231, 0.03238, 0.02504,-0.3254,0.5212,0.9970,-2.6647, 0.0000, 0.3787
  7.500, 2.2300, 0.03330, 0.02612,-0.3218,0.5180,0.9970,-2.6832, 0.0000, 0.3761
  7.750, 2.2432, 0.03396, 0.02689,-0.3195,0.5149,0.9970,-2.7082, 0.0000, 0.3737
  8.000, 2.2728, 0.03406, 0.02699,-0.3202,0.5128,0.9970,-2.7500, 0.0000, 0.3715
  8.250, 2.2758, 0.03499, 0.02808,-0.3159,0.5093,0.9970,-2.7649, 0.0000, 0.3689
  8.500, 2.2860, 0.03558, 0.02877,-0.3129,0.5060,0.9970,-2.7875, 0.0000, 0.3664
  8.750, 2.3204, 0.03546, 0.02864,-0.3146,0.5037,0.9970,-2.8345, 0.0000, 0.3645
  9.000, 2.3051, 0.03686, 0.03026,-0.3069,0.4999,0.9970,-2.8308, 0.0000, 0.3615
  9.250, 2.3165, 0.03741, 0.03091,-0.3042,0.4969,0.9970,-2.8549, 0.0000, 0.3591
  9.500, 2.3598, 0.03700, 0.03047,-0.3075,0.4947,0.9970,-2.9123, 0.0000, 0.3575
  9.750, 2.3203, 0.03919, 0.03292,-0.2955,0.4905,0.9970,-2.8841, 0.0000, 0.3540
 10.000, 2.3519, 0.03875, 0.03248,-0.2964,0.4872,0.9970,-2.9309, 0.0000, 0.3520
 10.250, 2.3359, 0.04031, 0.03421,-0.2891,0.4831,0.9970,-2.9574, 0.0000, 0.3492
 10.500, 2.3581, 0.04007, 0.03399,-0.2882,0.4790,0.9970,-3.1224, 0.0000, 0.3470
 10.750, 2.3425, 0.04182, 0.03591,-0.2814,0.4748,0.9970,-3.1721, 0.0000, 0.3443
 11.000, 2.3689, 0.04140, 0.03550,-0.2813,0.4707,0.9970,-3.3545, 0.0000, 0.3423
 11.250, 2.3432, 0.04390, 0.03821,-0.2733,0.4662,0.9970,-3.3733, 0.0000, 0.3396
 11.500, 2.3774, 0.04311, 0.03740,-0.2744,0.4623,0.9970,-3.5842, 0.0000, 0.3377
 11.750, 2.3380, 0.04673, 0.04127,-0.2652,0.4574,0.9970,-3.5586, 0.0000, 0.3350
 12.000, 2.3762, 0.04554, 0.04005,-0.2666,0.4533,0.9970,-3.7868, 0.0000, 0.3331
